id,name
86,Sparkasse Hochfranken
266,Sparkasse Dillenburg
42,Sparkasse Bielefeld
56,Kreissparkasse Ravensburg
116,Sparkasse Worms-Alzey-Ried
78,Saalesparkasse
223,Sparkasse Weserbergland
2,Sparkasse KölnBonn
97,Sparkasse Hilden Ratingen Velbert
292,Kreissparkasse Gotha
34,Förde Sparkasse
25,Kreissparkasse Böblingen
61,Taunus Sparkasse
57,Sparkasse Herford
270,Kreissparkasse Stendal
244,Sparkasse Lünen
231,Wartburg-Sparkasse
64,Erzgebirgssparkasse
322,Sparkasse Elmshorn
242,Kreissparkasse Rhein-Hunsrück
54,Sparkasse Oberhessen
150,Salzlandsparkasse
84,Sparkasse Bamberg
67,Sparkasse Bodensee
37,Sparkasse Vorderpfalz
318,Sparkasse Uckermark
76,Sparkasse Kraichgau
98,Sparkasse Gelsenkirchen
351,Müritz-Sparkasse
156,Kreis- und Stadtsparkasse Unna-Kamen
346,Stadt-Sparkasse Haan
129,Sparkasse Mittelmosel Eifel Mosel Hunsrück
154,Sparkasse Lörrach-Rheinfelden
331,Sparkasse der Homburgischen Gemeinden
368,Sparkasse Burbach-Neunkirchen
296,Kreissparkasse Nordhausen
264,Sparkasse Mansfeld-Südharz
10,Nassauische Sparkasse
397,Sparkasse Grünberg
43,Sparkasse Duisburg
140,Sparkasse Meißen
58,Stadtsparkasse Mönchengladbach
19,Landessparkasse zu Oldenburg
21,Sparkasse Krefeld
68,Sparkasse Koblenz
70,Sparkasse Trier
281,Sparkasse Hochsauerland
105,Sparkasse Schwäbisch Hall Crailsheim
130,Sparkasse Mülheim an der Ruhr
74,Sparkasse Chemnitz
36,Sparkasse Neuss
411,Stadtsparkasse Schwalmstadt
246,Stadtsparkasse Remscheid
41,Sparkasse Osnabrück
268,Sparkasse Kleve
53,Kreissparkasse Reutlingen
169,Sparkasse Neuwied
170,Sparkasse Starkenburg
173,Kreissparkasse Heidenheim
315,Sparkasse Olpe-Drolshagen-Wenden
122,Sparkasse Göttingen
92,Kreissparkasse Steinfurt
248,Sparkasse Goslar/Harz
369,Stadtsparkasse Wetter
221,Kreissparkasse Westerwald
174,Sparkasse Gera-Greiz
100,Sparkasse Westholstein
412,Stadtsparkasse Grebenstein
99,Sparkasse Vorpommern
277,Kreissparkasse Gelnhausen
23,Sparkasse Essen
55,Kreissparkasse Ostalb
364,Sparkasse Stockach
338,Bordesholmer Sparkasse AG
184,Sparkasse Mecklenburg-Schwerin
31,Sparkasse Paderborn-Detmold
342,Sparkasse Werl
27,Kreissparkasse Waiblingen
308,Sparkasse Altmark West
33,Sparkasse Westmünsterland
303,Sparkasse Ostprignitz-Ruppin
168,Sparkasse Gießen
117,Sparkasse Lemgo
410,Sparkasse Fröndenberg
324,Sparkasse Osterode am Harz
309,Sparkasse Hattingen
106,Sparkasse Siegen
407,Sparkasse Geseke
290,Sparkasse Mecklenburg-Nordwest
335,Stadtsparkasse Gladbeck
282,Kreissparkasse Melle
355,Sparkasse Sonneberg
29,Stadtsparkasse Wuppertal
405,Stadtsparkasse Haltern am See
104,Sparkasse am Niederrhein
291,Sparkasse Unstrut-Hainich
52,Kreissparkasse Tübingen
197,Herner Sparkasse
305,Kreissparkasse Weilburg
370,Kreissparkasse Hildburghausen
356,Sparkasse Emden
200,Kreissparkasse Euskirchen
153,Sparkasse Markgräflerland
297,Sparkasse Hochschwarzwald
214,Kreissparkasse Saarpfalz
237,Sparkasse Neunkirchen
293,Kreissparkasse St. Wendel
132,Kreissparkasse Düsseldorf
312,Stadtsparkasse Cuxhaven
191,Sparkasse Rotenburg-Bremervörde
83,Sparkasse Fulda
192,Sparkasse Jena-Saale-Holzland
126,Sparkasse Hochrhein
93,Sparkasse Düren
160,Sparkasse Wetzlar
257,Kreissparkasse Bitburg-Prüm
394,Sparkasse Erwitte-Anröchte
311,Sparkasse Engen-Gottmadingen
16,Kreissparkasse Ludwigsburg
144,Sparkasse Minden-Lübbecke
176,Sparkasse Uelzen Lüchow-Dannenberg
28,Sparkasse Karlsruhe Ettlingen
202,Sparkasse Werra-Meißner
380,Stadtsparkasse Porta Westfalica
362,Sparkasse Scheeßel
247,Kreissparkasse Limburg
387,Stadtsparkasse Rahden
203,Sparkasse Stade - Altes Land
329,Sparkasse Beckum-Wadersloh
75,Sparkasse Memmingen-Lindau-Mindelheim
408,Sparkasse Hohenwestedt
194,Kreissparkasse Kusel
91,Sparkasse Schwarzwald-Baar
402,Stadtsparkasse Delbrück
232,Sparkasse Odenwaldkreis
88,Sparkasse Harburg-Buxtehude
278,Kreissparkasse Northeim
392,Sparkasse Münden
353,Sparkasse Parchim-Lübz
314,Bezirkssparkasse Reichenau
415,Stadtsparkasse Felsberg
354,Stadtsparkasse Wermelskirchen
358,Sparkasse Meschede
295,Kreissparkasse Soltau
375,Kreissparkasse Schlüchtern
94,Sparkasse Marburg-Biedenkopf
69,Sparkasse Offenburg/Ortenau
378,Sparkasse Gengenbach
208,Kreissparkasse Miesbach-Tegernsee
9,Die Sparkasse Bremen AG
77,Kreissparkasse Kaiserslautern
161,Sparkasse Neckartal-Odenwald
263,Kreissparkasse Birkenfeld
137,Stadtsparkasse Oberhausen
138,Sparkasse Schaumburg
