annotation,id,value2,value3,value,value4
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,109,11.630,11.630,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,325,11.620,11.620,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,316,11.600,16.600,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,62,11.600,11.600,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,145,11.600,11.600,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,416,11.600,11.600,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,91,11.590,14.590,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,348,11.590,11.590,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,104,11.580,16.580,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,308,11.580,11.580,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,23,11.560,11.560,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,128,11.560,11.560,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,398,11.550,16.550,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,39,11.550,16.050,0.000,0.250
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,247,11.550,11.550,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,178,11.546,11.546,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,184,11.530,16.530,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,336,11.530,16.530,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,124,11.520,16.520,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,266,11.500,16.500,0.000,0.020
"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Zinssatz auf Sparenlagen mit 3-monatiger Kündigungsfrist unter 5.000€ nur 0,01%",250,11.500,14.500,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,14,11.500,13.000,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,36,11.500,11.500,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,42,11.500,11.500,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,76,11.500,11.500,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,173,11.500,11.500,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,245,11.500,11.500,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,267,11.500,11.500,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,402,11.500,11.500,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,253,11.490,,0.000,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,38,11.480,11.480,0.000,0.025
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,25,11.470,16.470,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,95,11.470,11.470,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,249,11.460,11.460,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",395,11.450,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,40,11.440,13.940,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,302,11.430,11.430,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",190,11.400,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,187,11.400,16.400,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,388,11.400,16.400,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,75,11.400,15.900,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",391,11.400,14.900,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,278,11.390,16.690,0.000,0.020
"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken.",400,11.380,16.880,0.010,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,6,11.380,11.380,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,320,11.380,11.380,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,100,11.370,16.870,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,206,11.360,11.360,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,137,11.359,11.359,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,4,11.340,13.840,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",280,11.340,11.340,0.000,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,150,11.330,11.330,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,275,11.330,11.330,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,8,11.310,11.310,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,132,11.310,11.310,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,143,11.310,11.310,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,375,11.300,17.300,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,271,11.300,14.300,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,83,11.300,11.300,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,268,11.300,11.300,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,394,11.290,16.790,0.000,0.050
"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent.",54,11.290,11.290,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,61,11.290,11.290,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,151,11.290,11.290,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,210,11.281,11.281,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,413,11.280,16.280,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",153,11.250,,,
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",332,11.250,,,
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",411,11.250,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,21,11.250,16.250,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,323,11.250,15.750,0.000,0.100
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",315,11.250,14.250,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,44,11.250,11.250,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,55,11.240,11.240,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,156,11.240,11.240,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,50,11.237,11.237,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,31,11.230,11.230,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,79,11.230,11.230,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,321,11.230,11.230,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,324,11.220,15.720,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,372,11.200,16.450,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,121,11.200,16.200,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,170,11.200,11.200,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,331,11.190,11.190,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,59,11.170,11.170,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,64,11.170,11.170,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,60,11.160,16.160,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",261,11.150,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,17,11.140,11.140,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",401,11.130,15.130,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,235,11.130,11.130,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,133,11.113,11.113,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,207,11.100,15.850,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",101,11.100,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,373,11.090,15.590,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,10,11.090,11.090,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,322,11.080,11.080,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,166,11.073,13.073,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,258,11.070,11.070,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,220,11.050,15.550,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,57,11.050,11.050,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,363,11.050,11.050,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,269,11.030,16.030,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,293,11.030,15.780,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,351,11.010,15.510,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,272,11.000,16.500,0.000,0.030
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,399,11.000,16.500,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",27,11.000,16.000,0.000,Nicht im Betrieb
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,81,11.000,16.000,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,222,11.000,16.000,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,309,11.000,15.500,0.000,0.015
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,262,11.000,15.000,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,116,11.000,11.000,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,339,11.000,11.000,0.000,0.050
