annotation,id,value2,value3,value,value4
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,288,10.438,12.438,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,345,10.430,10.430,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,80,10.410,10.410,0.000,0.150
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,386,10.390,15.890,0.000,0.050
"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent.",26,10.390,13.390,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,107,10.390,10.390,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,242,10.380,15.380,0.000,0.025
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,179,10.370,15.370,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,118,10.370,14.870,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,201,10.360,15.360,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,237,10.350,10.350,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,368,10.350,10.350,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,251,10.300,10.300,0.000,0.010
Die Guthaben-Verzinsung gilt erst ab 1.000 Euro im Modell „Tagesgeld Online.“ Von dieser Sparkasse haben wir einen Preisaushang erhalten.,504,10.300,10.300,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,181,10.280,15.280,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,13,10.280,10.280,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,82,10.270,15.270,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,355,10.270,10.270,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,73,10.220,15.220,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,216,10.210,15.210,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,329,10.200,15.200,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,285,10.200,14.200,0.000,0.030
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,276,10.200,10.200,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,349,10.190,15.690,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,129,10.170,10.170,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,359,10.160,15.160,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,301,10.150,10.150,0.000,0.001
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,167,10.080,10.080,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,174,10.080,10.080,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",390,10.050,15.800,0.000,0.020
"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken.",241,10.050,14.050,0.010,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,295,10.050,10.050,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,279,9.990,14.990,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,122,9.990,14.490,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,7,9.990,9.990,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,284,9.990,9.990,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,317,9.990,9.990,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,208,9.960,9.960,0.000,0.030
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,380,9.950,16.450,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,112,9.950,14.950,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,99,9.950,9.950,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,152,9.950,9.950,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,257,9.950,9.950,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,383,9.935,14.435,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,282,9.910,9.910,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,230,9.900,9.900,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,319,9.900,9.900,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,185,9.860,15.360,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,219,9.850,14.850,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",183,9.850,9.850,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,335,9.830,9.830,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",342,9.830,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,286,9.820,9.820,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,74,9.815,9.815,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,255,9.800,14.800,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,126,9.790,9.790,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,225,9.780,15.030,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,162,9.780,9.780,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,159,9.770,9.770,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,168,9.750,14.750,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,248,9.750,13.750,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,228,9.750,9.750,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,503,9.750,9.750,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",191,9.720,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,72,9.690,12.690,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,51,9.690,9.690,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,58,9.650,14.650,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,211,9.650,14.400,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,238,9.650,9.650,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,328,9.650,9.650,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",310,9.650,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,186,9.640,9.640,0.000,0.150
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,68,9.610,14.230,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,135,9.610,9.610,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,53,9.600,14.100,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,195,9.600,12.600,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,87,9.600,9.600,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,148,9.590,12.590,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,140,9.590,9.590,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,213,9.550,14.550,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,294,9.550,9.550,0.000,0.100
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",297,9.550,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,90,9.500,14.500,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,340,9.500,9.500,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,119,9.490,9.490,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,146,9.460,9.460,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,113,9.450,9.450,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,350,9.420,9.420,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,147,9.400,9.400,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,203,9.400,9.400,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,357,9.330,13.330,0.000,0.010
"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken.",393,9.300,14.800,0.050,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,67,9.300,9.300,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,78,9.300,9.300,0.000,0.100
"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken.",397,9.260,15.260,0.030,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,234,9.250,14.250,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,70,9.250,9.250,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",96,9.220,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,88,9.210,9.210,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,243,9.190,9.190,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",265,9.120,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,138,9.050,14.050,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,169,9.020,13.020,0.000,0.100
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",161,8.940,13.940,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,105,8.900,12.900,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,318,8.890,8.890,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,24,8.868,8.868,0.000,0.000
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,16,8.750,8.750,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,106,8.730,11.730,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,30,8.700,8.700,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,115,8.510,8.510,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,142,8.500,11.500,0.000,0.070
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,209,8.500,9.900,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,292,8.490,8.490,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,290,8.390,8.390,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,94,8.330,12.330,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,264,8.260,8.260,0.000,0.050
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",377,7.960,12.960,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,172,7.750,7.750,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,214,7.600,7.600,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,192,6.850,6.850,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,45,5.710,8.210,0.000,0.010
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,69,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,164,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,171,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,177,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,218,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,236,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,300,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,311,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,314,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,326,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,341,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,343,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,376,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,385,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,404,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,408,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,409,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,414,,,,
Von dieser Sparkasse haben wir keinen Preisaushang erhalten.,415,,,,
