value2,value4,value3,value,id,annotation
9.750,0.010,0.000,9.750,228,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.750,0.020,0.000,14.750,168,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.750,0.050,0.000,9.750,503,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.750,0.100,0.000,13.750,248,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.770,0.010,0.000,9.770,159,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.780,0.010,0.000,9.780,162,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.780,0.020,0.000,15.030,225,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.790,0.050,0.000,9.790,126,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.800,0.010,0.000,14.800,255,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.815,0.010,0.000,9.815,74,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.820,0.050,0.000,9.820,286,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.830,0.050,0.000,9.830,335,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.830,,,,342,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
9.850,0.020,0.000,9.850,183,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
9.850,0.050,0.000,14.850,219,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.860,0.050,0.000,15.360,185,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.900,0.010,0.000,9.900,230,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.900,0.050,0.000,9.900,319,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.910,0.050,0.000,9.910,282,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.935,0.050,0.000,14.435,383,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.950,0.010,0.000,16.450,380,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.950,0.020,0.000,9.950,99,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.950,0.050,0.000,9.950,152,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.950,0.100,0.000,14.950,112,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.950,0.100,0.000,9.950,257,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.960,0.030,0.000,9.960,208,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.990,0.010,0.000,14.490,122,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.990,0.010,0.000,9.990,284,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.990,0.010,0.000,9.990,317,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.990,0.050,0.000,9.990,7,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.990,0.100,0.000,14.990,279,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.050,0.010,0.010,14.050,241,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
10.050,0.020,0.000,10.050,390,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben."
10.050,0.050,0.000,10.050,295,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.080,0.010,0.000,10.080,174,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.080,0.050,0.000,10.080,167,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.150,0.001,0.000,10.150,301,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.160,0.020,0.000,15.160,359,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.170,0.020,0.000,10.170,129,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.190,0.010,0.000,15.690,349,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.200,0.020,0.000,10.200,276,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.200,0.030,0.000,14.200,285,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.200,0.050,0.000,15.200,329,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.210,0.050,0.000,15.210,216,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.220,0.010,0.000,15.220,73,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.270,0.010,0.000,15.270,82,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.270,0.050,0.000,10.270,355,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.280,0.010,0.000,10.280,13,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.280,0.050,0.000,15.280,181,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.300,0.010,0.000,10.300,251,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.300,0.010,0.000,10.300,504,Die Guthaben-Verzinsung gilt erst ab 1.000 Euro im Modell „Tagesgeld Online.“ Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.350,0.050,0.000,10.350,237,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.350,0.050,0.000,10.350,368,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.360,0.050,0.000,15.360,201,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.370,0.010,0.000,15.370,179,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.370,0.050,0.000,14.870,118,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.380,0.025,0.000,15.380,242,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.390,0.050,0.000,15.890,386,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.390,0.050,0.000,13.390,26,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent."
10.390,0.050,0.000,10.390,107,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.410,0.150,0.000,10.410,80,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.430,0.050,0.000,10.430,345,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.438,0.010,0.000,12.438,288,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
10.450,0.050,0.000,10.450,193,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
