value2,value4,value3,value,id,annotation
11.450,0.050,0.000,14.950,411,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben."
11.280,0.050,0.000,16.280,413,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.281,0.010,0.000,11.281,210,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.290,0.050,0.000,16.790,394,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.290,0.050,0.000,11.290,54,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent."
11.290,0.050,0.000,11.290,151,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.290,0.100,0.000,11.290,61,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.300,0.010,0.000,17.300,375,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.300,0.050,0.000,14.300,271,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.300,0.050,0.000,11.300,83,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.300,0.050,0.000,11.300,268,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.310,0.050,0.000,11.310,8,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.310,0.050,0.000,11.310,132,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.310,0.050,0.000,11.310,143,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.330,0.010,0.000,11.330,150,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.330,0.010,0.000,11.330,275,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.340,0.050,0.000,13.840,4,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.340,,0.000,11.340,280,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.359,0.050,0.000,11.359,137,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.360,0.050,0.000,11.360,206,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.370,0.050,0.000,16.870,100,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.380,0.010,0.010,16.880,400,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
11.380,0.010,0.000,11.380,320,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.380,0.050,0.000,11.380,6,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.390,0.020,0.000,16.690,278,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.400,0.010,0.000,15.900,75,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.400,0.050,0.000,16.400,187,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.400,0.050,0.000,16.400,388,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.400,0.050,0.000,14.900,391,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.400,,,,190,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.430,0.010,0.000,11.430,302,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.440,0.050,0.000,13.940,40,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.450,,,,395,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.460,0.010,0.000,11.460,249,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.470,0.050,0.000,16.470,25,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.470,0.050,0.000,11.470,95,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.480,0.025,0.000,11.480,38,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.490,,0.000,,253,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.010,0.000,13.000,14,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.010,0.000,11.500,42,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.010,0.000,11.500,76,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.010,0.000,11.500,267,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.020,0.000,16.500,266,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.020,0.000,11.500,36,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.020,0.000,11.500,173,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.050,0.000,14.500,250,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Zinssatz auf Sparenlagen mit 3-monatiger Kündigungsfrist unter 5.000€ nur 0,01%"
11.500,0.050,0.000,11.500,402,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.500,0.100,0.000,11.500,245,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.520,0.050,0.000,16.520,124,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.530,0.020,0.000,16.530,336,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.530,0.050,0.000,16.530,184,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.546,0.050,0.000,11.546,178,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.550,0.050,0.000,16.550,398,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.550,0.100,0.000,11.550,247,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.550,0.250,0.000,16.050,39,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.560,0.010,0.000,11.560,128,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.560,0.050,0.000,11.560,23,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.580,0.010,0.000,11.580,308,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.580,0.020,0.000,16.580,104,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.590,0.050,0.000,14.590,91,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.590,0.050,0.000,11.590,348,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.600,0.010,0.000,16.600,316,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.600,0.010,0.000,11.600,62,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.600,0.010,0.000,11.600,145,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.600,0.050,0.000,11.600,416,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.620,0.010,0.000,11.620,325,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.630,0.020,0.000,11.630,109,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.630,0.030,0.000,16.630,180,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.630,0.050,0.000,17.130,240,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.650,0.010,0.000,16.150,11,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.650,0.010,0.000,11.650,353,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.650,0.020,0.000,16.650,299,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.650,0.050,0.000,17.150,176,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.660,0.050,0.000,11.660,98,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.670,0.020,0.000,11.670,86,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.670,0.050,0.000,14.170,291,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.690,0.025,0.000,11.690,274,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.711,0.050,0.000,16.711,233,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.724,0.020,0.000,11.724,149,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.750,0.010,0.000,16.750,371,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.750,0.010,0.000,11.750,231,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.750,0.015,0.000,11.750,354,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.750,0.050,0.000,11.750,387,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.750,0.050,0.000,11.750,501,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.770,0.050,0.000,16.770,306,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.770,0.100,0.000,11.770,384,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.800,0.010,0.000,11.800,34,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.800,0.050,0.000,16.800,197,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.800,0.050,0.000,14.550,334,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
11.800,0.050,0.000,11.800,407,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.810,0.050,0.000,11.810,252,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.817,0.010,0.000,11.817,66,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.870,0.010,0.000,11.870,157,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.890,0.010,0.000,11.890,392,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.900,0.010,0.000,16.900,346,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.900,0.050,0.000,11.900,111,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.900,0.050,0.000,11.900,232,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.920,0.020,0.000,11.920,307,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.950,0.010,0.000,11.950,405,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.950,0.050,0.000,11.950,9,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.950,0.050,0.000,11.950,277,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.970,0.030,0.000,11.970,347,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11.970,0.100,0.000,17.470,175,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.010,0.050,0.000,12.010,406,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.037,0.020,0.000,17.037,130,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.040,0.010,0.000,12.040,196,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.140,0.010,0.000,14.140,287,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.150,0.010,0.000,12.150,298,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.200,0.010,0.000,15.200,200,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.200,0.050,0.000,17.200,296,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.200,0.100,0.000,16.700,389,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.210,0.050,0.000,17.210,327,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.220,0.020,0.000,12.220,165,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.220,0.050,0.000,12.220,361,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.290,0.050,0.000,12.290,43,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.330,0.010,0.000,18.330,110,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.350,0.020,0.000,12.350,367,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.380,0.010,0.000,12.380,89,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.410,0.025,0.000,12.410,103,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.420,0.010,0.000,17.420,224,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.420,,,,382,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
12.453,0.005,0.000,12.453,366,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.470,0.020,0.000,17.470,77,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.490,0.010,0.000,12.490,289,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.500,0.010,0.000,18.000,273,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.500,0.050,0.000,12.500,370,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.550,0.010,0.000,12.550,205,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.568,0.010,0.010,17.068,378,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
12.640,0.010,0.000,12.640,305,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
12.750,,,,362,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
,,,,69,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,164,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
11.450,0.050,0.000,14.950,171,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
,,,,177,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,218,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,236,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,300,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
12.250,,0.000,15.750,311,Von dieser Sparkasse haben wir einen Preisaushang erhalten. Nur die Spareinlagen waren auf dem Foto der Preisliste nicht zu erkennen.
,,,,314,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,326,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,341,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,343,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,376,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,385,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,404,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,408,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,409,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,414,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
,,,,415,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
