id,value
AT,70.20
BE,162.60
BG,109.40
CY,144.40
CZ,84.10
DK,136.20
EE,70.10
FI,140.10
FR,175.80
DE,66.90
HU,67.50
IS,125.90
IE,144.90
IT,167.50
LV,88.80
LT,102.00
LU,153.10
NL,56.70
NO,141.60
PL,99.00
PT,133.10
SK,115.90
SI,108.30
ES,108.60
SE,126.20
GB,104.20
