id,value2,value3,value4,value,annotation
503,9.75,9.75,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
248,9.75,13.75,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
159,9.77,9.77,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
162,9.78,9.78,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
225,9.78,15.03,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
126,9.79,9.79,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
255,9.8,14.8,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
74,9.815,9.815,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
286,9.82,9.82,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
335,9.83,9.83,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
342,9.83,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
183,9.85,9.85,0,0.02,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
219,9.85,14.85,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
185,9.86,15.36,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
230,9.9,9.9,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
319,9.9,9.9,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
282,9.91,9.91,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
383,9.935,14.435,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
380,9.95,16.45,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
99,9.95,9.95,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
152,9.95,9.95,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
112,9.95,14.95,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
257,9.95,9.95,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
208,9.96,9.96,0,0.03,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
122,9.99,14.49,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
284,9.99,9.99,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
317,9.99,9.99,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
7,9.99,9.99,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
279,9.99,14.99,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
241,10.05,14.05,0.01,0.01,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
390,10.05,10.05,0,0.02,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben."
295,10.05,10.05,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
174,10.08,10.08,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
167,10.08,10.08,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
301,10.15,10.15,0,0.001,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
359,10.16,15.16,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
