id,value2,value3,value4,value,annotation
275,11.33,11.33,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
4,11.34,13.84,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
280,11.34,11.34,0,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
137,11.359,11.359,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
206,11.36,11.36,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
100,11.37,16.87,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
400,11.38,16.88,0.01,0.01,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
320,11.38,11.38,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
6,11.38,11.38,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
278,11.39,16.69,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
75,11.4,15.9,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
187,11.4,16.4,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
388,11.4,16.4,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
391,11.4,14.9,0,0.05,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
190,11.4,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
302,11.43,11.43,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
40,11.44,13.94,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
395,11.45,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
249,11.46,11.46,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
25,11.47,16.47,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
95,11.47,11.47,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
38,11.48,11.48,0,0.025,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
253,11.49,,0,,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
14,11.5,13,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
42,11.5,11.5,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
76,11.5,11.5,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
267,11.5,11.5,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
266,11.5,16.5,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
36,11.5,11.5,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
173,11.5,11.5,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
250,11.5,14.5,0,0.05,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Zinssatz auf Sparenlagen mit 3-monatiger Kündigungsfrist unter 5.000€ nur 0,01%"
402,11.5,11.5,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
245,11.5,11.5,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
124,11.52,16.52,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
336,11.53,16.53,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
184,11.53,16.53,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
178,11.546,11.546,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
398,11.55,16.55,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
247,11.55,11.55,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
39,11.55,16.05,0,0.25,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
128,11.56,11.56,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
23,11.56,11.56,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
308,11.58,11.58,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
104,11.58,16.58,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
91,11.59,14.59,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
348,11.59,11.59,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
316,11.6,16.6,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
62,11.6,11.6,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
145,11.6,11.6,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
416,11.6,11.6,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
325,11.62,11.62,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
109,11.63,11.63,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
180,11.63,16.63,0,0.03,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
240,11.63,17.13,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
11,11.65,16.15,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
353,11.65,11.65,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
299,11.65,16.65,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
176,11.65,17.15,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
98,11.66,11.66,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
86,11.67,11.67,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
291,11.67,14.17,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
274,11.69,11.69,0,0.025,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
233,11.711,16.711,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
149,11.724,11.724,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
371,11.75,16.75,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
231,11.75,11.75,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
354,11.75,11.75,0,0.015,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
387,11.75,11.75,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
501,11.75,11.75,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
306,11.77,16.77,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
384,11.77,11.77,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
34,11.8,11.8,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
197,11.8,16.8,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
334,11.8,14.55,0,0.05,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
407,11.8,11.8,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
252,11.81,11.81,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
66,11.817,11.817,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
157,11.87,11.87,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
392,11.89,11.89,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
346,11.9,16.9,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
111,11.9,11.9,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
232,11.9,11.9,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
307,11.92,11.92,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
405,11.95,11.95,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9,11.95,11.95,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
277,11.95,11.95,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
347,11.97,11.97,0,0.03,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
175,11.97,17.47,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
406,12.01,12.01,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
130,12.037,17.037,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
196,12.04,12.04,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
287,12.14,14.14,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
298,12.15,12.15,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
200,12.2,15.2,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
296,12.2,17.2,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
389,12.2,16.7,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
327,12.21,17.21,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
165,12.22,12.22,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
361,12.22,12.22,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
43,12.29,12.29,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
110,12.33,18.33,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
367,12.35,12.35,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
89,12.38,12.38,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
103,12.41,12.41,0,0.025,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
224,12.42,17.42,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
382,12.42,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
366,12.453,12.453,0,0.005,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
77,12.47,17.47,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
289,12.49,12.49,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
273,12.5,18,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
370,12.5,12.5,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
205,12.55,12.55,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
378,12.568,17.0678,0.01,0.01,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
305,12.64,12.64,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
362,12.75,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
69,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
164,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
171,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
177,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
218,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
236,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
300,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
311,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
314,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
326,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
341,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
343,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
376,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
385,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
404,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
408,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
409,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
414,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
415,,,,,Von dieser Sparkasse haben wir keinen Preisaushang erhalten.
