id,slug
170,sparkasse_starkenburg
54,sparkasse_oberhessen
329,sparkasse_beckum_wadersloh
98,sparkasse_gelsenkirchen
273,sparkasse_staufen_breisach
209,sparkasse_elbe_elster
387,stadtsparkasse_rahden
400,stadtsparkasse_blomberg_lippe
412,stadtsparkasse_grebenstein
153,sparkasse_markgraeflerland
221,kreissparkasse_westerwald
270,kreissparkasse_stendal
143,sparkasse_celle
85,kreissparkasse_saarlouis
331,sparkasse_der_homburgischen_gemeinden
377,stadtsparkasse_schwedt
109,sparkasse_vogtland
31,sparkasse_paderborn_detmold
106,sparkasse_siegen
175,sparkasse_witten
190,sparkasse_im_landkreis_neustadt_aisch_bad_windsheim
304,sparkasse_donauwoerth
372,stadtsparkasse_bad_honnef
37,sparkasse_vorderpfalz
330,sparkasse_jerichower_land
271,sparkasse_attendorn_lennestadt_kirchhundem
230,kreissparkasse_bautzen
174,sparkasse_gera_greiz
137,stadtsparkasse_oberhausen
130,sparkasse_muelheim_an_der_ruhr
140,sparkasse_meissen
38,nord_ostsee_sparkasse
229,sparkasse_der_stadt_iserlohn
333,stadtsparkasse_hameln
115,sparkasse_oberlausitz_niederschlesien
406,sparkasse_finnentrop
416,stadtsparkasse_bad_sachsa
285,sparkasse_bad_neustadt_a_d_saale
173,kreissparkasse_heidenheim
219,hohenzollerische_ldbk_ksk_sigmaringen
322,sparkasse_elmshorn
11,sparkasse_pforzheim_calw
83,sparkasse_fulda
383,sparkasse_noerdlingen
314,bezirkssparkasse_reichenau
97,sparkasse_hilden_ratingen_velbert
62,sparkasse_rosenheim_bad_aibling
148,harzsparkasse
194,kreissparkasse_kusel
275,kreis_und_stadtsparkasse_dillingen
200,kreissparkasse_euskirchen
121,sparkasse_tauberfranken
259,sparkasse_freising
129,sparkasse_mittelmosel_eifel_mosel_hunsrueck
63,stadt_und_kreissparkasse_darmstadt
242,kreissparkasse_rhein_hunsrueck
213,kreissparkasse_grafschaft_bentheim_zu_nordhorn
367,sparkasse_mecklenburg_strelitz
99,sparkasse_vorpommern
224,sparkasse_rastatt_gernsbach
70,sparkasse_trier
71,sparkasse_aschaffenburg_alzenau
341,sparkasse_freyung_grafenau
165,sparkasse_mainz
342,sparkasse_werl
305,kreissparkasse_weilburg
69,sparkasse_offenburg_ortenau
39,sparkasse_bochum
266,sparkasse_dillenburg
306,kreis_und_stadtsparkasse_wasserburg_am_inn
167,sparkasse_suedwestpfalz
67,sparkasse_bodensee
239,sparkasse_maerkisch_oderland
291,sparkasse_unstrut_hainich
414,stadtsparkasse_borken
241,sparkasse_im_landkreis_cham
171,kreissparkasse_schwalm_eder
210,sparkasse_guenzburg_krumbach
268,sparkasse_kleve
104,sparkasse_am_niederrhein
355,sparkasse_sonneberg
78,saalesparkasse
260,kreissparkasse_altenkirchen
244,sparkasse_luenen
382,sparkasse_wolfach
366,sparkasse_rothenburg
223,sparkasse_weserbergland
398,stadtsparkasse_barsinghausen
325,kreissparkasse_doebeln
177,sparkasse_bad_hersfeld_rotenburg
23,sparkasse_essen
255,kreissparkasse_bersenbrueck
56,kreissparkasse_ravensburg
236,sparkasse_soest
160,sparkasse_wetzlar
316,sparkasse_neuburg_rain
411,stadtsparkasse_schwalmstadt
359,stadt_und_kreissparkasse_moosburg
15,kreissparkasse_muenchen_starnberg_ebersberg
324,sparkasse_osterode_am_harz
46,sparkasse_ulm
249,sparkasse_oberpfalz_nord
157,stadtsparkasse_magdeburg
312,stadtsparkasse_cuxhaven
58,stadtsparkasse_moenchengladbach
286,sparkasse_pfaffenhofen
388,stadtsparkasse_burgdorf
225,vereinigte_sparkassen_im_landkreis_weilheim
283,sparkasse_ostunterfranken
248,sparkasse_goslar_harz
334,sparkasse_schopfheim_zell
287,kreissparkasse_eichsfeld
253,kreis_und_stadtsparkasse_kaufbeuren
234,kreissparkasse_stade
41,sparkasse_osnabrueck
353,sparkasse_parchim_luebz
393,sparkasse_st_blasien
68,sparkasse_koblenz
328,kreissparkasse_hoechstadt_aisch
317,sparkasse_muldental
50,kasseler_sparkasse
350,sparkasse_duderstadt
178,sparkasse_amberg_sulzbach
197,herner_sparkasse
119,vereinigte_sparkassen_stadt_und_landkreis_ansbach
363,staedtische_sparkasse_zu_schwelm
226,kreissparkasse_grafschaft_diepholz
356,sparkasse_emden
380,stadtsparkasse_porta_westfalica
55,kreissparkasse_ostalb
81,sparkasse_rhein_nahe
232,sparkasse_odenwaldkreis
111,kreissparkasse_heinsberg
228,sparkasse_hanauerland
332,kreissparkasse_vulkaneifel
193,kreissparkasse_kelheim
47,stadtsparkasse_augsburg
254,sparkasse_donnersberg
35,kreissparkasse_biberach
358,sparkasse_meschede
195,kreissparkasse_freudenstadt
30,sparkasse_heidelberg
131,sparkasse_passau
354,stadtsparkasse_wermelskirchen
141,kreissparkasse_verden
235,kreissparkasse_peine
34,foerde_sparkasse
113,ostseesparkasse_rostock
22,stadtsparkasse_dortmund
43,sparkasse_duisburg
245,staedtische_sparkasse_offenbach_am_main
26,sparkasse_mainfranken_wuerzburg
206,kreissparkasse_ahrweiler
336,kreissparkasse_schongau
263,kreissparkasse_birkenfeld
6,sparkasse_hannover
53,kreissparkasse_reutlingen
108,sparkasse_gifhorn_wolfsburg
272,sparkasse_gummersbach_bergneustadt
139,sparkasse_leerwittmund
345,sparkasse_ennepetal_breckerfeld
