id,value
AT,54.9
BE,161.1
BG,98.9
CY,396.5
CZ,79.8
DK,44.1
EE,56
FI,23.8
FR,99.1
DE,204.8
HU,245.5
IS,5.9
IE,58
IT,341
LV,44.1
LT,39.4
LU,43.6
NL,74.9
NO,3.8
PL,132.2
PT,157.1
SK,43.2
SI,37
ES,242
SE,13.5
GB,66.3
