plz,id
60549,4
67308,254
06343,264
24997,38
51465,3
24884,38
21730,234
25774,349
29590,176
52351,93
96152,190
28879,258
27249,226
25591,100
89129,46
02799,115
46348,33
65344,10
97282,26
02906,115
24991,38
21369,135
85622,15
99846,231
84085,90
04626,302
10997,419
48145,18
68647,116
67826,81
95447,155
21279,88
96260,146
51379,103
93138,72
74429,105
88353,56
80333,5
86833,75
06567,321
35583,160
09353,74
42697,151
97299,26
83376,180
06847,337
59227,18
68239,49
27612,163
53947,200
89281,181
97922,121
08132,128
94538,131
99510,73
71083,25
65614,305
72654,20
49770,102
49597,255
77796,300
52531,111
24635,48
68169,49
29339,143
06772,261
97215,190
16269,239
74388,24
90459,13
27356,191
16556,12
31033,65
42115,29
31228,235
08538,109
95239,86
76889,107
94439,205
37290,202
84558,145
32257,57
29392,108
81245,5
22455,1
74417,55
81735,5
66994,167
76776,201
67251,80
79576,153
24799,34
90475,13
34212,171
27607,163
86486,101
93342,193
26532,172
87629,66
35066,164
42399,29
94209,269
74321,16
34434,240
99894,292
07427,284
64646,170
49809,102
85659,186
71696,16
17034,276
69181,30
49838,102
84307,205
97488,142
25348,100
87496,66
09122,74
87541,66
87534,66
94136,131
14059,419
04936,209
51143,2
17337,357
36323,54
96484,146
31634,211
29227,143
88281,56
17091,276
67595,116
81545,5
47802,21
50672,2
58097,134
46509,104
67724,254
66839,85
10117,419
41749,21
90431,13
21129,203
36219,177
20253,1
85088,286
07426,284
83135,62
08144,128
85276,286
76779,201
45549,384
47839,21
97355,26
82343,15
13057,419
21357,135
79694,395
61352,61
94513,341
17495,99
97753,26
79206,273
13059,419
78078,91
98597,216
24897,38
67699,77
96178,84
26826,139
07639,192
39606,270
83131,62
01259,7
21717,234
77833,319
72202,11
01127,7
04657,17
93051,72
99518,73
99428,73
65626,10
87452,66
75053,76
68526,49
94419,82
45527,309
67069,37
24238,34
72275,195
74523,105
26842,139
83417,180
25488,48
65399,10
97453,142
44379,22
84101,193
01900,7
30629,6
04349,17
26384,307
58730,410
91477,190
29614,295
30982,6
56288,242
74255,24
06808,198
97846,26
59269,329
57439,271
26954,19
83098,62
61138,59
15328,239
96187,84
63128,89
48727,33
25597,100
28359,9
83533,306
83735,208
61239,54
59929,281
63933,188
71159,25
72664,20
86916,204
66399,214
22761,1
55120,165
27572,163
21354,135
09337,74
99092,73
24401,38
71139,25
09456,64
28832,141
27624,163
42553,97
64331,63
42477,361
63879,71
84347,205
39619,308
72359,96
26689,19
17329,357
07937,174
02708,115
73344,51
44319,22
97289,26
68794,28
85235,133
41836,111
40789,8
21723,203
90619,190
91757,87
24159,34
74385,16
79254,297
16868,303
36041,83
24376,38
10829,419
66869,194
56182,68
72108,52
92442,179
97078,26
73669,20
09221,64
77977,69
87674,66
23628,120
82445,288
18195,113
04552,17
28215,9
85456,186
25876,38
13187,419
88069,67
84547,145
95152,86
25588,100
34626,171
34508,164
96170,84
67346,37
94541,183
97714,250
66133,32
95199,86
87727,75
01477,7
59590,407
67149,80
87746,75
41466,36
25704,100
63906,188
94151,341
24598,48
84082,90
15859,136
79279,44
56850,129
42699,151
33104,31
04603,302
01796,7
67714,167
95364,152
21360,135
59558,256
83454,233
73326,51
73277,20
97424,142
77740,69
94169,341
66780,85
95352,152
88456,35
79219,273
78609,112
31008,65
59302,18
74369,16
06231,78
44793,39
86935,204
54587,332
34549,164
55257,165
56751,212
89155,46
81371,5
85408,359
56333,68
74545,105
68789,30
78662,127
57223,106
69253,30
92533,179
35440,168
38536,108
77716,300
39164,227
74855,161
95176,86
29484,176
92361,162
02748,115
97708,250
95182,86
49832,102
04509,17
18225,113
02633,230
06682,159
42117,29
19205,290
34323,171
75181,11
82008,15
27404,191
54649,257
26935,19
84375,205
88693,326
88149,75
04103,17
93333,193
91286,217
18230,113
23996,290
91620,366
69226,30
97631,285
83670,166
40670,36
66564,237
07980,174
24893,38
63869,71
56076,68
09619,110
88447,35
59379,501
01454,7
31600,211
79682,126
79862,393
97450,26
25840,38
25887,38
77948,69
74541,105
12349,419
72584,53
24644,338
16540,12
59609,394
74864,161
74423,105
77866,228
56307,169
58095,134
18279,113
71672,16
42551,97
87494,66
85661,15
74544,105
04109,17
94164,131
69436,161
95683,249
13587,419
80797,5
75323,11
98716,289
04880,17
65479,124
04107,17
42287,29
21770,163
58553,185
27245,226
27574,163
97337,26
31311,6
74392,16
63791,71
27305,123
13089,419
86735,383
02736,115
86682,304
77770,69
76474,224
73312,51
13583,419
24963,38
08309,64
06110,78
75389,11
01219,7
97080,26
56348,10
98553,370
35585,160
97705,250
06237,78
27628,163
02826,115
25596,338
23820,48
94267,269
14165,419
17438,99
88430,35
15913,12
86875,253
91592,366
06785,261
33165,31
83229,62
54646,257
87634,66
36320,54
67146,80
39130,157
76770,201
12277,419
95448,155
06577,321
12307,419
87663,66
09579,64
79271,297
78597,112
72362,96
58840,222
40764,252
33617,42
93161,72
67582,116
47059,43
97654,285
78087,91
86643,316
76767,201
49134,41
12621,419
67811,254
60435,4
24885,38
98693,289
76571,182
01731,7
53177,2
73117,51
29594,176
72667,20
86495,47
78582,112
81479,5
74635,218
61231,54
