id,anzahl_vorstaende_2014,anmerkungen_2014,bilanzsumme_2014,gesamtbezuege_2014,durchschnitt_2014
283,2.0,Spenden incl. Ausschüttung einer sparkasseneigenen Stiftung,1191322294.0,476000.0,238000.0
281,2.0,,1166000000.0,606000.0,303000.0
280,2.0,,1129800000.0,616000.0,308000.0
279,2.0,,1195872000.0,667000.0,333500.0
277,2.1,Spenden inklusive Stiftung,1123900000.0,401000.0,190952.38095238095
275,2.0,Spenden incl. Ausschüttung einer sparkasseneigenen Stiftung,1199819991.0,572000.0,286000.0
274,2.0,,1164313188.0,613000.0,306500.0
273,2.0,,1223500000.0,558000.0,279000.0
272,2.0,,1192747000.0,669500.0,334750.0
271,2.0,,1099700000.0,568200.0,284100.0
270,2.0,,1196500000.0,474000.0,237000.0
268,2.0,,1250300000.0,549000.0,274500.0
267,3.0,Spenden incl. Ausschüttungen von 3 Stiftungen,1247842827.0,686000.0,228666.66666666666
266,2.0,Spenden incl. Stiftungen,1225000000.0,506000.0,253000.0
265,3.0,,1313045089.0,818000.0,272666.6666666667
264,2.0,,1364500000.0,599000.0,299500.0
259,2.0,,1344751261.0,535000.0,267500.0
256,2.0,,1439000000.0,669000.0,334500.0
254,2.0,,1353100000.0,588000.0,294000.0
253,2.0,,1407416306.0,553000.0,276500.0
252,2.0,,1337593000.0,679700.0,339850.0
251,2.0,,1412600000.0,690000.0,345000.0
250,2.0,Spenden incl. Ausschüttung einer sparkasseneigenen Stiftung,1429169094.0,506000.0,253000.0
249,2.0,Gewinnabführung SVB w/ stiller Beteiligung,1414487666.0,462000.0,231000.0
247,2.0,,1396500000.0,422000.0,211000.0
246,2.0,Spenden enthalten Volumen der Stiftung.,1420800000.0,552900.0,276450.0
245,2.0,,1410300000.0,616000.0,308000.0
244,2.0,Sparkasse Lünen und Werne haben im Oktober 2015 fusioniert und sind jetzt Sparkasse an der Lippe,1353400000.0,646000.0,323000.0
243,2.0,,1466100000.0,689000.0,344500.0
241,2.0,,1513124473.0,512000.0,256000.0
240,2.0,,1446800000.0,637000.0,318500.0
239,3.0,,1487600000.0,866000.0,288666.6666666667
237,2.0,,1444000000.0,434178.0,217089.0
236,3.0,,1458700000.0,870000.0,290000.0
233,3.0,,1510142351.0,764000.0,254666.66666666666
232,2.0,Ausschließlich Stiftungskapítal angegeben: 6 Mio.,1496310000.0,503000.0,251500.0
231,2.5,Spenden enthalten Zustiftungen,1559000000.0,555000.0,222000.0
229,3.0,,1504197140.0,967000.0,322333.3333333333
225,3.0,,1595459432.0,779000.0,259666.66666666666
222,2.0,,1556100000.0,624000.0,312000.0
220,2.0,Ausschüttung an Träger enthält noch abzuführende Steuern,1581000000.0,577000.0,288500.0
217,2.0,,1639475086.0,572000.0,286000.0
216,2.0,,1606000000.0,482000.0,241000.0
215,2.0,,1537373039.0,623800.0,311900.0
214,2.0,,1688900000.0,610000.0,305000.0
210,2.0,,1766818072.0,593000.0,296500.0
208,3.0,,1740810081.0,806000.0,268666.6666666667
207,3.0,,1650500000.0,970000.0,323333.3333333333
204,3.0,,1747923312.0,856000.0,285333.3333333333
202,2.0,,1745400000.0,600000.0,300000.0
200,2.0,Keine Angaben zur Ausschüttung,1788541177.0,658843.0,329421.5
199,2.0,,1698244149.0,606000.0,303000.0
197,2.0,,1619271043.0,621000.0,310500.0
195,3.0,,1714618262.0,671000.0,223666.66666666666
193,2.0,,1846252313.0,579000.0,289500.0
192,3.0,,1878668385.0,694000.0,231333.33333333334
191,2.0,,1818516804.0,690000.0,345000.0
190,3.0,Spenden incl. Ausschüttung einer sparkasseneigenen Stiftung,1830355327.0,777000.0,259000.0
189,1.5,,1859600000.0,574000.0,382666.6666666667
188,3.0,Spenden incl. Ausschüttungen von 2 Stiftungen,1806426768.0,780000.0,260000.0
187,2.0,,1829040805.0,601000.0,300500.0
186,3.0,,1855642653.0,794000.0,264666.6666666667
185,3.0,,1803057275.0,980400.0,326800.0
182,2.0,,1830569649.0,795000.0,397500.0
181,3.0,,1894276279.0,876000.0,292000.0
180,3.0,,1961766232.0,779000.0,259666.66666666666
179,2.33,,1904188855.0,701000.0,300858.36909871246
178,3.0,,1953871773.0,978000.0,326000.0
177,2.0,,1844591311.0,615000.0,307500.0
175,2.0,,1971945740.0,681000.0,340500.0
174,3.0,,1912324605.0,740000.0,246666.66666666666
173,2.0,,1897230782.0,617000.0,308500.0
172,3.0,,1957732065.0,699000.0,233000.0
171,2.0,,1970719898.0,699000.0,349500.0
170,2.0,,1948875761.0,606000.0,303000.0
168,2.5,"Es wird lediglich auf die Verwendung des Jahresüberschusses gemäß § 16 SpkG HE hingewiesen, aber keine exakten Zahlen genannt. Aus den gegebenen Daten konnte ich nur die Verwendung für 2013 errechnen, für 2014 fehlt der Jahresabschluss 2015.",2071811000.0,686000.0,274400.0
166,3.0,,2125584412.0,888000.0,296000.0
164,2.0,,2023013586.0,500000.0,250000.0
163,3.0,Spenden inkl. Stiftung,3989940000.0,1339000.0,446333.3333333333
162,3.0,,2038630759.0,876000.0,292000.0
160,2.0,,2117407000.0,479000.0,239500.0
158,2.0,,2128031000.0,784000.0,392000.0
156,4.0,,2161496000.0,1234000.0,308500.0
155,2.0,Spenden incl. Ausschüttung einer sparkasseneigenen Stiftung,2172084302.0,645000.0,322500.0
153,3.0,,2265933000.0,980000.0,326666.6666666667
152,2.0,Spenden incl. Ausschüttungen von 3 Stiftungen,2265361110.0,636000.0,318000.0
151,2.0,,2151633000.0,781000.0,390500.0
149,2.0,,2230185000.0,704600.0,352300.0
147,2.0,"AG, daher keine Ausschüttung an den Träger sondern Dividende!",2399643000.0,707000.0,353500.0
146,3.0,,2413587420.0,950000.0,316666.6666666667
145,3.0,,2426729763.0,995000.0,331666.6666666667
144,3.0,,2333320000.0,906000.0,302000.0
142,3.0,,2454458412.0,833000.0,277666.6666666667
140,2.5,,2487869642.0,932000.0,372800.0
137,4.0,,2401408468.0,964019.0,241004.75
136,2.9,,2548514000.0,1088000.0,375172.4137931035
134,3.0,,2498585857.0,1094000.0,364666.6666666667
133,2.0,,2572781612.0,749000.0,374500.0
132,3.0,,2591205083.0,1015625.0,338541.6666666667
131,3.0,,2619233403.0,989000.0,329666.6666666667
130,3.0,,2704422592.0,744655.0,248218.33333333334
128,2.0,,2586695624.0,812000.0,406000.0
126,2.3,,2728930827.0,763000.0,331739.13043478265
124,3.0,,2650457008.0,1155000.0,385000.0
122,3.0,,2667831130.0,925000.0,308333.3333333333
119,3.0,,2900849572.0,920000.0,306666.6666666667
117,3.0,,2782284450.0,1211000.0,403666.6666666667
116,3.9,,2860889058.0,1256000.0,322051.28205128206
115,2.0,,2939454272.0,874000.0,437000.0
114,3.0,,3020862021.0,1063000.0,354333.3333333333
113,2.0,,3027987000.0,792000.0,396000.0
111,3.0,,3008963682.0,1063500.0,354500.0
110,3.25,,3007978000.0,1538000.0,473230.76923076925
109,3.0,,3045960000.0,1176000.0,392000.0
106,3.0,"369,84 € als Gewinnvortrag vom Jahresüberschuss mit nach 2015 genommen",3067989887.0,1267000.0,422333.3333333333
105,3.0,,3118745863.0,921000.0,307000.0
104,3.0,,3130666468.0,1016200.0,338733.3333333333
103,3.0,,3103562432.0,1286300.0,428766.6666666667
102,3.0,,3106607521.0,990000.0,330000.0
101,3.0,,3222828354.0,1094000.0,364666.6666666667
100,3.0,,3321397664.0,1134000.0,378000.0
99,3.0,,3203787435.0,935000.0,311666.6666666667
98,2.0,,3135581462.0,637000.0,318500.0
97,3.0,,3268201671.0,1268100.0,422700.0
96,2.0,,3214769107.0,682000.0,341000.0
95,3.0,,3322723645.0,1047000.0,349000.0
94,3.0,Zusätzlich zu Spendengesamtsumme Stiftungsausschüttungen in Höhe von 50000 €),3219802338.0,945000.0,315000.0
93,3.0,,3448287964.0,1093000.0,364333.3333333333
92,4.0,,3389236874.0,1336000.0,334000.0
90,3.0,,3480025939.0,1081000.0,360333.3333333333
89,2.0,Zu der Gesamtsumme Spenden kommen noch Stiftungsausschüttungen von 72000 €.,3191052120.0,817000.0,408500.0
87,3.0,Dotierung von 3 Stiftungen erfolgt,3454870955.0,1094000.0,364666.6666666667
86,3.0,Dotierung von Stiftung erfolgt,3537282184.0,1144000.0,381333.3333333333
85,3.0,,3559165802.0,915000.0,305000.0
84,2.75,Spenden incl. 192 T€ Ausschüttung aus Stiftung,3482515028.0,986000.0,358545.45454545453
83,3.0,,3495522141.0,828000.0,276000.0
82,3.0,,3765348769.0,1106000.0,368666.6666666667
79,3.0,,3791732557.0,1127000.0,375666.6666666667
76,3.0,,3891440717.0,973000.0,324333.3333333333
75,3.0,3 Stiftungen vorhanden,3711300214.0,1001000.0,333666.6666666667
73,3.0,,3920546000.0,1099000.0,366333.3333333333
72,3.0,,4030595582.0,973000.0,324333.3333333333
71,3.0,,3872179547.0,962000.0,320666.6666666667
69,3.0,,4012076844.0,1024000.0,341333.3333333333
67,3.0,,4129833153.0,1118000.0,372666.6666666667
66,3.0,,4218329264.0,994000.0,331333.3333333333
65,3.0,,3943632085.0,805000.0,268333.3333333333
64,3.0,,4192050994.0,1349000.0,449666.6666666667
63,3.0,,4122229576.0,1267000.0,422333.3333333333
62,2.66,,4462297309.0,1060000.0,398496.24060150376
61,2.42,,4435300000.0,957000.0,395454.54545454547
60,2.75,,4189720410.0,1016000.0,369454.54545454547
59,3.0,,4325941639.0,1067000.0,355666.6666666667
58,5.0,,4647848694.0,1954306.0,390861.2
57,3.0,,4354433487.0,1270000.0,423333.3333333333
55,3.0,,4717814082.0,1058000.0,352666.6666666667
54,3.0,,4397701545.0,1106000.0,368666.6666666667
53,3.0,,4655008581.0,988000.0,329333.3333333333
52,3.0,,4821987952.0,1043000.0,347666.6666666667
51,3.0,,5052790411.0,1029000.0,343000.0
50,4.0,,5155509486.0,1240000.0,310000.0
